,departement,frequence_mesure,annee,type_mesure,population,code_dep
410,2024-DEP-17,A,2011,PTOT,644353.0,17
411,2024-DEP-43,A,2011,PTOT,232838.0,43
412,2024-DEP-14,A,2011,PCAP,16569.0,14
413,2024-DEP-59,A,2011,PTOT,2620067.0,59
414,2024-DEP-28,A,2011,PMUN,430416.0,28
415,2024-DEP-33,A,2011,PCAP,30402.0,33
416,2024-DEP-42,A,2011,PTOT,766630.0,42
417,2024-DEP-52,A,2011,PTOT,189154.0,52
418,2024-DEP-48,A,2011,PCAP,4216.0,48
419,2024-DEP-07,A,2011,PMUN,317277.0,07
420,2024-DEP-49,A,2011,PMUN,790181.0,49
421,2024-DEP-10,A,2011,PMUN,303997.0,10
422,2024-DEP-90,A,2011,PMUN,143348.0,90
423,2024-DEP-10,A,2011,PCAP,8214.0,10
424,2024-DEP-75,A,2011,PTOT,2274880.0,75
425,2024-DEP-79,A,2011,PCAP,11489.0,79
426,2024-DEP-14,A,2011,PMUN,684709.0,14
427,2024-DEP-41,A,2011,PMUN,331280.0,41
428,2024-DEP-67,A,2011,PCAP,19616.0,67
429,2024-DEP-23,A,2011,PMUN,122560.0,23
430,2024-DEP-19,A,2011,PTOT,251175.0,19
431,2024-DEP-05,A,2011,PCAP,5357.0,05
432,2024-DEP-94,A,2011,PCAP,13201.0,94
433,2024-DEP-54,A,2011,PTOT,747511.0,54
434,2024-DEP-48,A,2011,PTOT,81372.0,48
435,2024-DEP-49,A,2011,PCAP,23522.0,49
436,2024-DEP-55,A,2011,PTOT,200068.0,55
437,2024-DEP-06,A,2011,PMUN,1081244.0,06
438,2024-DEP-53,A,2011,PTOT,317759.0,53
439,2024-DEP-37,A,2011,PCAP,15411.0,37
440,2024-DEP-81,A,2011,PTOT,389581.0,81
441,2024-DEP-75,A,2011,PCAP,24905.0,75
442,2024-DEP-971,A,2011,PMUN,404635.0,71
443,2024-DEP-84,A,2011,PMUN,546630.0,84
444,2024-DEP-07,A,2011,PTOT,327072.0,07
445,2024-DEP-78,A,2011,PCAP,27512.0,78
446,2024-DEP-66,A,2011,PCAP,8752.0,66
447,2024-DEP-66,A,2011,PMUN,452530.0,66
448,2024-DEP-83,A,2011,PTOT,1030355.0,83
449,2024-DEP-83,A,2011,PCAP,17620.0,83
450,2024-DEP-45,A,2011,PCAP,18770.0,45
451,2024-DEP-03,A,2011,PCAP,10307.0,03
452,2024-DEP-01,A,2011,PTOT,621095.0,01
453,2024-DEP-19,A,2011,PMUN,242454.0,19
454,2024-DEP-32,A,2011,PTOT,196143.0,32
455,2024-DEP-77,A,2011,PMUN,1338427.0,77
456,2024-DEP-62,A,2011,PCAP,27707.0,62
457,2024-DEP-35,A,2011,PMUN,996439.0,35
458,2024-DEP-22,A,2011,PMUN,594375.0,22
459,2024-DEP-17,A,2011,PCAP,18671.0,17
460,2024-DEP-52,A,2011,PCAP,6779.0,52
461,2024-DEP-64,A,2011,PCAP,21566.0,64
462,2024-DEP-67,A,2011,PTOT,1118885.0,67
463,2024-DEP-44,A,2011,PCAP,36165.0,44
464,2024-DEP-80,A,2011,PCAP,12601.0,80
465,2024-DEP-81,A,2011,PCAP,11906.0,81
466,2024-DEP-06,A,2011,PTOT,1097701.0,06
467,2024-DEP-15,A,2011,PCAP,5886.0,15
468,2024-DEP-22,A,2011,PTOT,614973.0,22
469,2024-DEP-47,A,2011,PTOT,341953.0,47
470,2024-DEP-24,A,2011,PTOT,427868.0,24
471,2024-DEP-77,A,2011,PTOT,1361031.0,77
472,2024-DEP-45,A,2011,PMUN,659587.0,45
473,2024-DEP-52,A,2011,PMUN,182375.0,52
474,2024-DEP-02,A,2011,PMUN,541256.0,02
475,2024-DEP-69,A,2011,PCAP,31717.0,69
476,2024-DEP-87,A,2011,PMUN,376058.0,87
477,2024-DEP-01,A,2011,PCAP,17268.0,01
478,2024-DEP-14,A,2011,PTOT,701278.0,14
479,2024-DEP-27,A,2011,PTOT,605213.0,27
480,2024-DEP-15,A,2011,PTOT,153463.0,15
481,2024-DEP-21,A,2011,PCAP,14167.0,21
482,2024-DEP-07,A,2011,PCAP,9795.0,07
483,2024-DEP-87,A,2011,PTOT,384720.0,87
484,2024-DEP-60,A,2011,PTOT,825927.0,60
485,2024-DEP-40,A,2011,PTOT,401562.0,40
486,2024-DEP-43,A,2011,PCAP,7931.0,43
487,2024-DEP-23,A,2011,PTOT,127543.0,23
